bsnpr_id,canonical_name,normalized_name,apellidos,nombre,nickname,birth_date,birth_year,birth_city,nationality,position,first_season,last_season,n_seasons,has_profile,confidence,source_id,source_url,retrieved_at
11,"Velazquez, Adolfo","velazquez, adolfo",Velazquez,Adolfo,,10/9/1965,1965,,,,1974,1976,3,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070829042648id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=11&e=,2026-09-08T14:26:07Z
12,"Diaz Trusan, Adrian","diaz trusan, adrian",Diaz Trusan,Adrian,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
13,"Machado Torres, Adrian","machado torres, adrian",Machado Torres,Adrian,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
14,"Mack, Adrian","mack, adrian",Mack,Adrian,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
15,"Cirino Ayala, Agustin","cirino ayala, agustin",Cirino Ayala,Agustin,,4/12/1966,1966,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
16,"Farfan Rodriguez, Agustin","farfan rodriguez, agustin",Farfan Rodriguez,Agustin,,2/26/1972,1972,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
17,"Garcia, Agustin","garcia, agustin",Garcia,Agustin,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
18,"Lledo, Agustin","lledo, agustin",Lledo,Agustin,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
19,"Salgado, Agustin","salgado, agustin",Salgado,Agustin,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
20,"Rivera, Ahmed","rivera, ahmed",Rivera,Ahmed,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
21,"Thomas, Aki","thomas, aki",Thomas,Aki,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
22,"Burdet, Albert","burdet, albert",Burdet,Albert,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
23,"Maldonado Davila, Albert","maldonado davila, albert",Maldonado Davila,Albert,,,,,,,1992,1995,2,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828230237id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=23&e=,2026-09-08T14:26:09Z
24,"Arroyo, Alberto","arroyo, alberto",Arroyo,Alberto,,7/30/1979,1979,"Rio Piedras, Puerto Rico",Puerto Rico,Escolta,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
25,"Aviles Bonilla, Alberto","aviles bonilla, alberto",Aviles Bonilla,Alberto,,10/3/1974,1974,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
26,"Berrios, Alberto","berrios, alberto",Berrios,Alberto,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
27,"Lopez Rosario, Alberto","lopez rosario, alberto",Lopez Rosario,Alberto,,8/20/1961,1961,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
28,"Maldonado Garcia, Alberto","maldonado garcia, alberto",Maldonado Garcia,Alberto,,9/20/1962,1962,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
29,"Morales Irizarry, Alberto","morales irizarry, alberto",Morales Irizarry,Alberto,,3/24/1966,1966,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
30,"Roque, Alberto","roque, alberto",Roque,Alberto,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
31,"Serra, Alberto","serra, alberto",Serra,Alberto,,,,,,,1970,1972,3,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828230619id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=31&e=,2026-09-08T14:26:12Z
32,"Tejera, Alberto","tejera, alberto",Tejera,Alberto,,,,,,,2003,2003,1,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828231618id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=32&e=,2026-09-08T14:26:14Z
33,"Zamot Bula, Alberto","zamot bula, alberto",Zamot Bula,Alberto,,11/19/1942,1942,,,,1961,1974,14,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828224018id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=33&e=,2026-09-08T14:26:16Z
34,"Montañez Carrillo, Alberto a.","montanez carrillo, alberto a",Montañez Carrillo,Alberto a.,,1/17/1970,1970,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
35,"Arroyo Bermudez, Alberto C.","arroyo bermudez, alberto c",Arroyo Bermudez,Alberto C.,berti,7/30/1979,1979,"Rio Piedras, Puerto Rico",Puerto Rico,Escolta,1996,2008,13,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20080803163146id_/http://bsnpr.com:80/jugadores/jugador.asp?id=35&e=,2026-09-08T14:26:19Z
36,"Gonzalez Vientos, Alberto carlos","gonzalez vientos, alberto carlos",Gonzalez Vientos,Alberto carlos,,10/5/1986,1986,,,,2005,2005,1,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828224647id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=36&e=,2026-09-08T14:26:21Z
37,"Carmona Sanchez, Alejandro","carmona sanchez, alejandro",Carmona Sanchez,Alejandro,Bimbo,6/14/1983,1983,"Rio Piedras, Puerto Rico",Puerto Rico,Alero,2001,2017,16,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20170715120606id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=37&e=,2026-09-08T14:26:23Z
38,"Alvarado Ortiz, Alex","alvarado ortiz, alex",Alvarado Ortiz,Alex,,6/24/1968,1968,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
39,"Blackwell, Alex","blackwell, alex",Blackwell,Alex,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
40,"Colon Santiago, Alex","colon santiago, alex",Colon Santiago,Alex,,,,,,,1996,1996,1,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828225124id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=40&e=,2026-09-08T14:26:25Z
41,"Diaz Cruz, Alex","diaz cruz, alex",Diaz Cruz,Alex,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
42,"Galindo Rodríguez, Alex","galindo rodriguez, alex",Galindo Rodríguez,Alex,,5/6/1985,1985,"Mayagüez, Puerto Rico",Puerto Rico,Alero,2002,2019,12,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200414030750id_/https://bsnpr.com/jugadores/jugador.asp?id=42&amp;e=1,2026-09-08T14:26:27Z
43,"Holcombe, Alex","holcombe, alex",Holcombe,Alex,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
44,"Martinez, Alex","martinez, alex",Martinez,Alex,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
45,"Vega Santos, Alex","vega santos, alex",Vega Santos,Alex,,9/29/1957,1957,,,,1975,1990,13,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070829042606id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=45&e=,2026-09-08T14:26:29Z
46,"Vigo Salaman, Alex","vigo salaman, alex",Vigo Salaman,Alex,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
47,"Cirilo Campos, Alex m.","cirilo campos, alex m",Cirilo Campos,Alex m.,,3/17/1967,1967,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
48,"Ayala De jesus, Alexander","ayala de jesus, alexander",Ayala De jesus,Alexander,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
49,"Rivera Cruz, Alexander","rivera cruz, alexander",Rivera Cruz,Alexander,,4/2/1981,1981,"Santurce, Puerto Rico",Puerto Rico,Alero,1999,2008,8,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20080501072254id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=49&e=11,2026-09-08T14:26:31Z
50,"Falcon Melendez, Alexander","falcon melendez, alexander",Falcon Melendez,Alexander,,11/20/1973,1973,"Rio Piedras, Puerto Rico",Puerto Rico,Delantero,1992,2013,21,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,2026-09-08T14:26:33Z
51,"Feliciano Gonzalez, Alexis","feliciano gonzalez, alexis",Feliciano Gonzalez,Alexis,,3/18/1970,1970,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
52,"Muniz Villanueva, Alexis","muniz villanueva, alexis",Muniz Villanueva,Alexis,,6/24/1982,1982,"Mayaguez, Puerto Rico",Puerto Rico,Delantero,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
53,"Nieves, Alexis","nieves, alexis",Nieves,Alexis,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
54,"Sepulveda Fontanez, Alexis","sepulveda fontanez, alexis",Sepulveda Fontanez,Alexis,,,,,,Escolta,1993,2009,5,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20090829072413id_/http://bsnpr.com:80/jugadores/jugador.asp?id=54&e=,2026-09-08T14:26:35Z
55,"Sosa Arocho, Alexis","sosa arocho, alexis",Sosa Arocho,Alexis,,6/14/1970,1970,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
56,"Sotomayor Rivera, Alexis","sotomayor rivera, alexis",Sotomayor Rivera,Alexis,,4/23/1963,1963,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
57,"Gomez, Alfonso","gomez, alfonso",Gomez,Alfonso,,,,,,,1960,1966,5,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828231504id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=57&e=,2026-09-08T14:26:36Z
58,"Cotto, Alfred","cotto, alfred",Cotto,Alfred,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
59,"Lee Porter, Alfred","lee porter, alfred",Lee Porter,Alfred,Butch,12/5/1956,1956,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
60,"Burgos Benitez, Alfredo","burgos benitez, alfredo",Burgos Benitez,Alfredo,,11/16/1954,1954,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
61,"Diaz Fontanez, Alfredo","diaz fontanez, alfredo",Diaz Fontanez,Alfredo,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
62,"Lamela Cardona, Alfredo","lamela cardona, alfredo",Lamela Cardona,Alfredo,,11/2/1962,1962,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
63,"Morales Rivera, Alfredo","morales rivera, alfredo",Morales Rivera,Alfredo,,3/9/1972,1972,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
64,"Ortiz Ramos, Alfredo","ortiz ramos, alfredo",Ortiz Ramos,Alfredo,,1/12/1973,1973,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
65,"Quintero, Alfredo","quintero, alfredo",Quintero,Alfredo,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
66,"Vias, Alfredo","vias, alfredo",Vias,Alfredo,,9/4/1962,1962,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
67,"Arroyo Melendez, Allan","arroyo melendez, allan",Arroyo Melendez,Allan,,2/20/1966,1966,,,,1984,1989,2,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828224339id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=67&e=,2026-09-08T14:26:38Z
68,"Ogg, Allan","ogg, allan",Ogg,Allan,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
69,"Roja, Almaranto","roja, almaranto",Roja,Almaranto,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
70,"Goldston, Alonso","goldston, alonso",Goldston,Alonso,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
71,"Teheran, Alvaro","teheran, alvaro",Teheran,Alvaro,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
72,"Boria, Alvin","boria, alvin",Boria,Alvin,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
73,"Cruz, Alvin","cruz, alvin",Cruz,Alvin,,4/24/1982,1982,"Río Piedras, Puerto Rico",Puerto Rico,Armador,2000,2002,3,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20080406040813id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=73&e=10,2026-09-08T14:26:40Z
74,"Cruz Torres, Alvin","cruz torres, alvin",Cruz Torres,Alvin,,4/24/1982,1982,"San Juan, Puerto Rico",Puerto Rico,Armador,1998,2017,18,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20170817055003id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=74&e=2,2026-09-08T14:26:42Z
75,"Arias, Amancio","arias, amancio",Arias,Amancio,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
76,"Abreu, Amaury","abreu, amaury",Abreu,Amaury,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
77,"Ayala Delgado, Amaury","ayala delgado, amaury",Ayala Delgado,Amaury,,1/28/1964,1964,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
78,"Filion Fernandez, Amaury","filion fernandez, amaury",Filion Fernandez,Amaury,,8/1/1981,1981,República Dominicana,República Dominicana,Delantero,2003,2004,2,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20080417000059id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=78&e=13,2026-09-08T14:26:44Z
79,"Aviles Delgado, Amilcar","aviles delgado, amilcar",Aviles Delgado,Amilcar,,4/2/1983,1983,"Caguas, Puerto Rico",Puerto Rico,Armador,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
80,"Herbert, Anderson","herbert, anderson",Herbert,Anderson,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
81,"Sweet Valencia, Andre","sweet valencia, andre",Sweet Valencia,Andre,,6/21/1982,1982,"New York, USA",USA,Alero,2002,2007,4,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20071211045931id_/http://bsnpr.com:80/jugadores/jugador.asp?id=81&e=,2026-09-08T14:26:47Z
82,"Baez, Andres","baez, andres",Baez,Andres,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
83,"Cabrero Chastre, Andres","cabrero chastre, andres",Cabrero Chastre,Andres,,6/17/1965,1965,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
84,"Guibert Sangerton, Andres","guibert sangerton, andres",Guibert Sangerton,Andres,,2/15/1968,1968,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
85,"Ortiz Aponte, Andres","ortiz aponte, andres",Ortiz Aponte,Andres,,7/21/1958,1958,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
86,"Ortiz Colon, Andres","ortiz colon, andres",Ortiz Colon,Andres,,6/4/1986,1986,"Fajardo, Puerto Rico",Puerto Rico,Escolta/Alero,2006,2013,8,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20140122201102id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=86&e=,2026-09-08T14:26:49Z
87,"Rodriguez Fernandez, Andres","rodriguez fernandez, andres",Rodriguez Fernandez,Andres,,2/27/1981,1981,,,Armador,1999,2016,12,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20180424203035id_/http://www.bsnpr.com/jugadores/jugador.asp?id=87&e,2026-09-08T14:26:50Z
88,"Sierra, Andres","sierra, andres",Sierra,Andres,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
89,"Cepeda Alers, Andres","cepeda alers, andres",Cepeda Alers,Andres,conga,1/7/1963,1963,,,,1972,1981,10,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070829042611id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=89&e=,2026-09-08T14:26:52Z
90,"Fischer, Andrew","fischer, andrew",Fischer,Andrew,,10/27/1966,1966,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
91,"Cheveres Nieves, Andy","cheveres nieves, andy",Cheveres Nieves,Andy,,3/11/1961,1961,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
92,"Martinez Rivera, Andy","martinez rivera, andy",Martinez Rivera,Andy,,10/20/1958,1958,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
93,"Liriano Lugo, Aneuris","liriano lugo, aneuris",Liriano Lugo,Aneuris,,1/3/1983,1983,"Carolina, Puerto Rico",Puerto Rico,Alero,2003,2008,5,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20090110001639id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=93&e=,2026-09-08T14:26:54Z
94,"Alicea Rivera, Angel","alicea rivera, angel",Alicea Rivera,Angel,,3/13/1958,1958,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
95,"Allende Diaz, Angel","allende diaz, angel",Allende Diaz,Angel,Grillo,7/6/1947,1947,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
96,"Bares, Angel","bares, angel",Bares,Angel,,9/15/1960,1960,,,,1977,1977,1,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070829035218id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=96&e=,2026-09-08T14:26:56Z
97,"Barreto, Angel","barreto, angel",Barreto,Angel,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
98,"Barzana Santiago, Angel","barzana santiago, angel",Barzana Santiago,Angel,,11/3/1968,1968,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
99,"Benitez, Angel","benitez, angel",Benitez,Angel,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
